name,date,price,views,link
iPhone 6s Plus,19/05/2020 08:42  πμ,"
										
											100,00 €
										
									",13,https://www.insomnia.gr/classifieds/item/1580274-iphone-6s-plus/
iPhone se  32gb silver,18/05/2020 07:49  μμ,"
										
											160,00 €
										
									",97,https://www.insomnia.gr/classifieds/item/1564011-iphone-se-32gb-silver/
IPhone XS Original LCD,18/05/2020 08:02  μμ,"
										
											140,00 €
										
									",276,https://www.insomnia.gr/classifieds/item/1549233-iphone-xs-original-lcd/
Iphone 6s 64 GB Rose Gold -  Θεσσαλονίκη    ,18/05/2020 08:26  μμ,"
										
											120,00 €
										
									",41,https://www.insomnia.gr/classifieds/item/1580055-iphone-6s-64-gb-rose-gold-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%AF%CE%BA%CE%B7/
iPhone 8 plus 256gb σφραγισμένο,18/05/2020 08:27  μμ,"
										
											600,00 €
										
									",60,https://www.insomnia.gr/classifieds/item/1580057-iphone-8-plus-256gb-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%AD%CE%BD%CE%BF/
iPhone XS Silver 64gb αριστο,18/05/2020 08:45  μμ,"
										
											500,00 €
										
									",74,https://www.insomnia.gr/classifieds/item/1580068-iphone-xs-silver-64gb-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF/
Iphone 7,18/05/2020 08:54  μμ,"
										
											150,00 €
										
									",100,https://www.insomnia.gr/classifieds/item/1580073-iphone-7/
iPhone 6s ανταλλαγη,18/05/2020 09:04  μμ,"
										
											1,00 €
										
									",47,https://www.insomnia.gr/classifieds/item/1580080-iphone-6s-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7/
iPhone 6S Plus 64 gb,18/05/2020 09:18  μμ,"
										
											150,00 €
										
									",181,https://www.insomnia.gr/classifieds/item/1575823-iphone-6s-plus-64-gb/
Iphone 8 64GB,18/05/2020 09:22  μμ,"
										
											300,00 €
										
									",413,https://www.insomnia.gr/classifieds/item/1566220-iphone-8-64gb/
IPHONE X 64GB SPACE GRAY,18/05/2020 09:26  μμ,"
										
											450,00 €
										
									",46,https://www.insomnia.gr/classifieds/item/1580094-iphone-x-64gb-space-gray/
IPHONE XS MAX 512 GB SPACE GRAY 6 ΜΗΝΕΣ ΕΓΓΥΗΣΗ,18/05/2020 10:03  μμ,"
										
											620,00 €
										
									",658,https://www.insomnia.gr/classifieds/item/1571387-iphone-xs-max-512-gb-space-gray-6-%CE%BC%CE%B7%CE%BD%CE%B5%CF%83-%CE%B5%CE%B3%CE%B3%CF%85%CE%B7%CF%83%CE%B7/
Πωλείται apple 11 64 gb στο πανέμορφο κιτρινο χρώμα,18/05/2020 10:31  μμ,"
										
											600,00 €
										
									",1635,https://www.insomnia.gr/classifieds/item/1527967-%CF%80%CF%89%CE%BB%CE%B5%CE%AF%CF%84%CE%B1%CE%B9-apple-11-64-gb-%CF%83%CF%84%CE%BF-%CF%80%CE%B1%CE%BD%CE%AD%CE%BC%CE%BF%CF%81%CF%86%CE%BF-%CE%BA%CE%B9%CF%84%CF%81%CE%B9%CE%BD%CE%BF-%CF%87%CF%81%CF%8E%CE%BC%CE%B1/
Σφραγισμενο iphone 11 μαυρο 128 gb,18/05/2020 10:34  μμ,"
										
											780,00 €
										
									",64,https://www.insomnia.gr/classifieds/item/1580131-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%BF-iphone-11-%CE%BC%CE%B1%CF%85%CF%81%CE%BF-128-gb/
iPhone 8 Plus 64 Gb- Product RED,18/05/2020 11:03  μμ,"
										
											400,00 €
										
									",173,https://www.insomnia.gr/classifieds/item/1572772-iphone-8-plus-64-gb-product-red/
iPhone SE 32gb,18/05/2020 11:15  μμ,"
										
											60,00 €
										
									",455,https://www.insomnia.gr/classifieds/item/1560122-iphone-se-32gb/
iPhone 7 Plus 128GB Jet Black,19/05/2020 12:12  πμ,"
										
											330,00 €
										
									",55,https://www.insomnia.gr/classifieds/item/1580190-iphone-7-plus-128gb-jet-black/
Iphone 7 rose gold,18/05/2020 02:24  μμ,"
										
											220,00 €
										
									",30,https://www.insomnia.gr/classifieds/item/1579832-iphone-7-rose-gold/
IPHONE 6S 64 GB SPACE GREY,18/05/2020 02:29  μμ,"
										
											180,00 €
										
									",40,https://www.insomnia.gr/classifieds/item/1579838-iphone-6s-64-gb-space-grey/
IPhone 11 pro max mid green ΣΦΡΑΓΙΣΜΕΝΟ,18/05/2020 02:35  μμ,"
										
											950,00 €
										
									",157,https://www.insomnia.gr/classifieds/item/1579844-iphone-11-pro-max-mid-green-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%BF/
Iphone 6s rose gold,18/05/2020 02:41  μμ,"
										
											140,00 €
										
									",357,https://www.insomnia.gr/classifieds/item/1562487-iphone-6s-rose-gold/
iPhone xs max space grey ΑΡΙΣΤΟ!! Δώρο μια γνήσια θήκη σιλικόνης!! Μπαταρία97%,18/05/2020 02:48  μμ,"
										
											650,00 €
										
									",1562,https://www.insomnia.gr/classifieds/item/1492144-iphone-xs-max-space-grey-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF-%CE%B4%CF%8E%CF%81%CE%BF-%CE%BC%CE%B9%CE%B1-%CE%B3%CE%BD%CE%AE%CF%83%CE%B9%CE%B1-%CE%B8%CE%AE%CE%BA%CE%B7-%CF%83%CE%B9%CE%BB%CE%B9%CE%BA%CF%8C%CE%BD%CE%B7%CF%82-%CE%BC%CF%80%CE%B1%CF%84%CE%B1%CF%81%CE%AF%CE%B197/
I Phone 7 32 GB,18/05/2020 02:54  μμ,"
										
											220,00 €
										
									",25,https://www.insomnia.gr/classifieds/item/1579856-i-phone-7-32-gb/
iPhone 6s Rose Gold 64GB,18/05/2020 03:33  μμ,"
										
											150,00 €
										
									",39,https://www.insomnia.gr/classifieds/item/1579880-iphone-6s-rose-gold-64gb/
iPhone 6s PLUS  rose Gold+ Ανταλλαγές,18/05/2020 03:36  μμ,"
										
											230,00 €
										
									",152,https://www.insomnia.gr/classifieds/item/1579882-iphone-6s-plus-rose-gold-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AD%CF%82/
Apple iPhone 7 32GB 4G+,18/05/2020 03:36  μμ,"
										
											180,00 €
										
									",38,https://www.insomnia.gr/classifieds/item/1579883-apple-iphone-7-32gb-4g/
Iphone 7 32Gb,18/05/2020 03:39  μμ,"
										
											200,00 €
										
									",393,https://www.insomnia.gr/classifieds/item/1544080-iphone-7-32gb/
Apple iPhone X (256GB),18/05/2020 04:15  μμ,"
										
											700,00 €
										
									",223,https://www.insomnia.gr/classifieds/item/1542668-apple-iphone-x-256gb/
Πωλείται iPhone 7 Plus 128GB Jet Black,18/05/2020 04:36  μμ,"
										
											260,00 €
										
									",65,https://www.insomnia.gr/classifieds/item/1579913-%CF%80%CF%89%CE%BB%CE%B5%CE%AF%CF%84%CE%B1%CE%B9-iphone-7-plus-128gb-jet-black/
Iphone 4 και 4s για ανταλλακτικά,18/05/2020 04:59  μμ,"
										
											50,00 €
										
									",240,https://www.insomnia.gr/classifieds/item/1552218-iphone-4-%CE%BA%CE%B1%CE%B9-4s-%CE%B3%CE%B9%CE%B1-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%BA%CF%84%CE%B9%CE%BA%CE%AC/
iPhone X 64Gb special grey,18/05/2020 05:17  μμ,"
										
											450,00 €
										
									",64,https://www.insomnia.gr/classifieds/item/1579936-iphone-x-64gb-special-grey/
Apple iPhone X 64GB Space Grey 90%+ ΥΓΕΙΑ ΜΠΑΤΑΡΙΑΣ,18/05/2020 05:21  μμ,"
										
											460,00 €
										
									",52,https://www.insomnia.gr/classifieds/item/1579942-apple-iphone-x-64gb-space-grey-90-%CF%85%CE%B3%CE%B5%CE%B9%CE%B1-%CE%BC%CF%80%CE%B1%CF%84%CE%B1%CF%81%CE%B9%CE%B1%CF%83/
Apple iPhone 11 Pro Max (64GB) Midnight Green ΣΦΡΑΓΙΣΜΕΝΟ,18/05/2020 05:29  μμ,"
										
											1.050,00 €
										
									",67,https://www.insomnia.gr/classifieds/item/1579949-apple-iphone-11-pro-max-64gb-midnight-green-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%BF/
iPhone 11 Pro (64GB) Space Gray,17/05/2020 11:27  μμ,"
										
											840,00 €
										
									",218,https://www.insomnia.gr/classifieds/item/1579580-iphone-11-pro-64gb-space-gray/
iPhone 7 128 gb,18/05/2020 12:10  πμ,"
										
											240,00 €
										
									",45,https://www.insomnia.gr/classifieds/item/1579605-iphone-7-128-gb/
Iphone x 256gb,,"
										
											490,00 €
										
									",214,https://www.insomnia.gr/classifieds/item/1536204-iphone-x-256gb/
Iphone 11 pro max 64 gb,18/05/2020 12:50  πμ,"
										
											800,00 €
										
									",898,https://www.insomnia.gr/classifieds/item/1541378-iphone-11-pro-max-64-gb/
Iphone 6 16gb Άριστο,18/05/2020 01:45  πμ,"
										
											95,00 €
										
									",64,https://www.insomnia.gr/classifieds/item/1579629-iphone-6-16gb-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF/
iPhone 7 | 32GB | Matte Black,18/05/2020 02:04  πμ,"
										
											70,00 €
										
									",134,https://www.insomnia.gr/classifieds/item/1579635-iphone-7-32gb-matte-black/
