,name,price,type,link,date,model,plus_size
0,6 plus 64 gb,90,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1659902-apple-iphone-6-plus-64-gb-%CE%B4%CE%B9%CE%B1%CE%B2%CE%AC%CF%83%CF%84%CE%B5-%CF%80%CE%B5%CF%81%CE%B9%CE%B3%CF%81%CE%B1%CF%86%CE%AE/,2020-11-14 09:55:00,6,1
1,6 space gray 16gb,95,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675567-iphone-6-space-gray-16gb/,2020-11-14 10:01:00,6,0
2,x 256gb,440,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675433-iphone-x-256gb%CE%B9%CE%B4%CE%B9%CF%8E%CF%84%CE%B7%CF%82-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%B9%CE%BA%CE%B7/,2020-11-13 21:40:00,x,0
3,12 pro gold 128 gb,1150,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675435-iphone-12-pro-gold-128-gb/,2020-11-13 21:43:00,12,2
4,x 64gb,460,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675449-iphone-x-64gb/,2020-11-13 22:03:00,x,0
5,7 128 gold watch series 3 38mm,170,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675487-iphone-7-128-gold-apple-watch-series-3-38mm/,2020-11-13 23:29:00,7,0
6,12 12pro,890,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675502-iphone-12-12pro/,2020-11-14 00:20:00,12,0
7,8 64gb space grey,280,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1657439-iphone-8-64gb-space-grey/,2020-11-14 00:35:00,8,0
8,8plus 64gb space grey,370,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1485489-%CF%80%CF%89%CE%BB%CE%B5%CE%B9%CF%84%CE%B1%CE%B9-iphone-8plus-64gb-space-grey/,2020-11-14 00:38:00,8,0
9,5s,40,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675513-iphone-5s/,2020-11-14 00:58:00,,0
10,6s plus,99,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1580274-iphone-6s-plus/,2020-11-14 01:30:00,6s,1
11,xs max 64gb 9,580,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675538-iphone-xs-max-64gb-%CE%BA%CF%89%CF%84%CF%83%CF%8C%CE%B2%CE%BF%CE%BB%CE%BF%CF%82-%CE%B5%CE%B3%CE%B3%CF%8D%CE%B7%CF%83%CE%B7-9-%CE%BC%CE%AE%CE%BD%CE%B5%CF%82-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7/,2020-11-14 04:40:00,xs,0
12,x 64gb black,370,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675540-iphone-x-64gb-black/,2020-11-14 06:12:00,x,0
13,8 plus 64 gb,380,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675552-iphone-8-plus-64-gb/,2020-11-14 08:54:00,8,1
14,xr,50,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675566-%CE%B8%CE%B7%CE%BA%CE%B5%CF%83-iphone-xr/,2020-11-14 09:39:00,xr,0
15,11 pro midnight green 64gb,750,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675365-iphone-11-pro-midnight-green-64gb-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%AF%CE%BA%CE%B7/,2020-11-13 19:51:00,11,2
16,xs max gold,620,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1652326-iphone-xs-max-gold/,2020-11-13 20:13:00,xs,0
17,xs 64gb,550,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675123-iphone-xs-64gb/,2020-11-13 13:50:00,xs,0
18,8 64gb,180,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675127-iphone-8-64gb/,2020-11-13 13:56:00,8,0
19,xs max 64g,500,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675146-iphone-xs-max-64g/,2020-11-13 14:21:00,xs,0
20,xr,1,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675153-iphone-xr/,2020-11-13 14:36:00,xr,0
21,11 1,1,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675176-iphone-11-1-%CE%B5%CE%B2%CE%B4%CE%BF%CE%BC%CE%B1%CE%B4%CE%B1%CF%83-%CE%BA%CF%89%CF%84%CF%83%CE%BF%CE%B2%CE%BF%CE%BB%CE%BF%CF%83-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7-%CE%BC%CE%BF%CE%BD%CE%BF/,2020-11-13 15:08:00,11,0
22,xr 64gb,450,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1666774-iphone-xr-64gb-%CE%BC%CE%B1%CF%8D%CF%81%CE%BF-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF/,2020-11-13 15:17:00,xr,0
23,6s 64g 100,165,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675177-%EF%A3%BF-iphone-6s-64g-100-%F0%9F%94%8B/,2020-11-13 15:17:00,6s,0
24,xs max 12 pro pro max,530,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675178-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF-%CE%BB%CE%B5%CF%85%CE%BA%CE%BF-xs-max%CE%B4%CE%B5%CE%BA%CF%84%CE%AD%CF%82-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AD%CF%82-%CE%BC%CE%B5-12-propro-max-%CE%B4%CE%B9%CE%B1%CF%86%CE%BF%CF%81%CE%AC-%CE%B1%CF%80%CF%8C-%CE%BC%CE%B5%CE%BD%CE%B1/,2020-11-13 15:20:00,xs,3
25,11 pro max 256gb,890,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675187-iphone-11-pro-max-256gb/,2020-11-13 15:37:00,11,3
26,xs max 64gb silver,750,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675191-iphone-xs-max-64gb-silver/,2020-11-13 15:41:00,xs,0
27,11 pro max 64gb midnight green,930,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675236-iphone-11-pro-max-64gb-midnight-green/,2020-11-13 16:46:00,11,3
28,7 matte black 32gb,110,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1664610-iphone-7-matte-black-32gb/,2020-11-13 16:51:00,7,0
29,11 pro max 256gb,850,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675285-iphone-11-pro-max-256gb/,2020-11-13 17:59:00,11,3
30,11 pro max 64 gb,750,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675286-iphone-11-pro-max-64-gb-%CF%80%CF%81%CE%AC%CF%83%CE%B9%CE%BD%CE%BF/,2020-11-13 18:02:00,11,3
31,11 pro max 64gb midnight green 1,780,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675297-iphone-11-pro-max-64gb-midnight-green-%CE%BC%CE%B5-%CF%85%CF%80%CE%BF%CE%BB%CE%BF%CE%B9%CF%80%CE%BF-1-%CF%87%CF%81%CE%BF%CE%BD%CE%BF-%CE%B5%CE%B3%CE%B3%CF%85%CE%B7%CF%83%CE%B7%CF%82/,2020-11-13 18:19:00,11,3
32,xs 5,480,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675304-iphone-xs-5-%CE%BC%CE%B7%CE%BD%CF%8E%CE%BD/,2020-11-13 18:30:00,xs,0
33,xr 64 gb,390,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675310-iphone-xr-64-gb/,2020-11-13 18:38:00,xr,0
34,11 pro max 64,850,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675321-iphone-11-pro-max-64/,,11,3
35,xs max 256gb space grey,530,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675322-iphone-xs-max-256gb-space-grey-%CE%BD%CE%B1-%CF%86%CE%B5%CF%85%CE%B3%CE%B5%CE%B9-%CE%B1%CE%BC%CE%B5%CF%83%CE%B1/,,xs,0
36,11 pro max gold,790,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675325-iphone-11-pro-max-gold/,2020-11-13 19:06:00,11,3
